name,lat,long,vicinity,rating,Mobile Number
AVINASH ORTHO TRAUMA AND CRITICAL CARE HOSPITAL,16.5498,81.513132,2-22-20,2.9,9848911533
SRI VENKATESWARA INSTITUTE OF RESEARCH AND REHABILITATION FOR THE DISABLED,16.9318364,81.2507535,S-41,2.8,8374445108
VADLAMUDI HOSPITALS,17.11768,81.296555,1-11-146,5.0,9393164949
SANKARA NETRA CHIKITSALAYA,16.71162,81.099898,23A-6-6,3.1,9848494445
SMT RAJESWARI RAMAKRISHNAN LIONS EYE HOSPITAL,16.893554,81.667921,12-16-40,3.9,8790434534
MURALI KRISHNA MULTI SPECIALITY AND EMERGENCY HOSPITAL,16.709517,81.093863,1934-10-25 00:00:00,4.0,9741902668
JANAKI HOSPITAL,16.439062,81.703382,1-87-58,3.0,9542456499
RADHAKRISHNA NETHRYALAYA,16.542892,81.514418,27-2-125/A,3.3,9440924444
SRI SURYA NURSING HOME,16.520018,81.72583,12-2-31/2,4.0,9177987949
SESHA GIRI HOSPITALS A UNIT OF SRI RATNA NURSING HOME,16.905545,81.670813,9-11-19/A,3.1,9704070333
NEPHROPLUS (DH ELURU),16.714012,81.095065,ELURU,4.1,8985915851
SRI SURYA HOSPITAL,16.433083,81.695833,9-1-5/2,4.8,8814273465
SRI SAI SPURTHI HOSPITALS,17.132444,81.660778,9-190,3.3,7990781150
DINESH MEDICAL CENTRE A Unit Of Carmel Health Care Pvt Ltd,14.413127,78.233908,3-7-215/1,4.8,7893982532
surya hospital,14.466221,78.830726,1/334,3.7,9490521977
Himalaya Multi Speciality Hospital,14.460519,78.82375,"d.no1-81/1, teja enclave, RS Road, yerramujkkapally,kadapa.516004",4.8,8121572982
KOMMA SUPER SPECIALITY HOSPITAL,14.462249,78.824383,1/100,3.3,8332994645
PRIYABHAVANA HOSPITALS PRIVATE LIMITED,14.755137,78.54846,2019-04-01 00:00:00,3.9,9866374469
SUNRISE HOSPITAL,14.47071,78.822688,2/1109,2.6,9989403708
KADAPA HOSPITALS,14.73347,79.05798,3/120,4.7,9866402392
SRI SRI HOLISTIC HOSPITALS,14.4747628,78.8217595,3-223,5.0,9441591466
Bharathi Hospital,14.46071,78.823817,"1/82, R.S.ROAD, YERRAMUKKAPALLI, KADAPA",3.2,8897630630
Tirumala hospitals,14.475638,78.823244,"21/16, r.s.road, guntha bazar, opp.sridevi scanning centre, Kadapa",4.4,9440217371
SREE RAJA RAGHAVENDRA MULTISPECIALITY HOSPITAL,17.00873,81.7822,1972-02-02 00:00:00,2.6,9440218944
LATHA POLYNURSING HOME AND MULTI SPECIALITY HOSPITAL,14.7534499,78.5479891,3-1461,3.7,9440751419
M M HOSPITAL,14.477058,78.825188,21/626,4.6,9885449930
B G R HOSPITAL,14.74879,78.547536,10/258,5.0,9848134064
Sree Mohan Hospitals,14.465431,78.832803,42/347-23-2,4.5,9985345864
swarup eye hospital and laser center,14.75543,78.550819,3/1177,2.8,8555007061
AMARAVATHI HOSPITALS,14.0512699,78.7496047,37/9-789/2,3.1,9642273689
AMEEN MULTI SPECIALITY HOSPITAL,13.63787,79.41686,21/632,4.0,9247469529
NANDIKA HOSPITAL,14.4091722,78.2260653,4-14-44-8,3.6,9985084739
TEJA HOSPITAL,14.5200743,78.1269689,4/596,3.6,8886669248
PAVANI HOSPITAL,14.1922627,79.1563766,6/1025-8-3,4.5,8309226766
RAVI NETRALAYAM,14.7523094,78.545485,4/664,2.9,9701112200
SREE HOSPITAL,14.46331,78.82318,1-700-4,4.7,9390530712
Shree Madan Multi Speciality Hospital,14.75036,78.54794,10-238,4.6,9985061155
ABHILASH NETRA VYDYA SALA,14.754722,78.549195,3/1350,4.3,9701960009
Ramakrishna Mission Hospital,27.13706,93.62205,"Ganga Market ,Itanagar",4.4,8259000000
